ids,questions
206,"Quando a Universidade de São Paulo foi criada?"
2796,"O Centro de Práticas Esportivas da Universidade de São Paulo está vinculado a qual órgão da USP?"
236,"Quais são as escolas do Institut Polytechnique de Paris?"
206,"Há quanto tempo a Universidade de São Paulo existe?"
206,"Quando a USP foi fundada?"
2796,"O CEPEUSP pertence a qual órgão da USP?"
2796,"Quem coordena o CEPEUSP?"
262,"Quem informa a USP sobre as mudanças de valores em contratos de operadoras credenciadas?"
262,"Quem informa a Universidade de São Paulo sobre preços de contratos?"
105,"O conselho de ensino, pesquisa e extensao é composto por quais câmaras?"
105,"Qual é o conselho da USP responsável pela área de pesquisa ensino e extensão?"
105,"Quantas câmaras existem no conselho responsável pela pesquisa e extensão da USP?"
4006,"Quais são as provas e seus respectivos pesos no concurso para Professor Titular na USP?"
3795,"Qual é o prazo máximo para interpor um recurso contra decisões dos órgãos executivos e colegiados da USP, e como deve ser feito esse recurso?"
17,"Quais são as cadeiras e aulas que fazem parte obrigatoriamente do curso de engenheiros civis na USP?"
246,"Qual o nível de proficiência em francês e inglês exigido para candidatos interessados no programa de engenharia da Ecole des Ponts ParisTech?"
939,"Como é definida a representação docente nas Congregações da Universidade de São Paulo e quais são os critérios específicos para a inclusão de professores de diferentes categorias?"
4318,"Como são escolhidos o Diretor e o Vice-Diretor do MAE na Universidade de São Paulo, e qual é a duração do mandato de cada um?"
3749,"Qual é o prazo máximo estabelecido para a conclusão de um curso de doutorado na USP para um aluno que não possui o título de mestre?"
2772,"Quais são os objetivos institucionais do Museu Paulista?"
1911,"Qual é o prazo máximo para um estudante de pós-graduação realizar o exame de qualificação após a inscrição na USP?"
81,"Qual é o prazo para entrar com recurso de nulidade após a deliberação da Congregação sobre o julgamento de um concurso na USP?"
2455,"Quais são os critérios necessários para um aluno de mestrado ser transferido para o curso de doutorado direto na USP?"
3837,"Qual é o mandato dos membros da representação discente no Conselho de um Departamento da USP e é permitida a recondução?"
4196,"Quais são as competências da Comissão de Inclusão e Pertencimento da EEL conforme estabelecido em normativas da USP?"
2103,"Quais são os idiomas permitidos para a elaboração de dissertações de mestrado profissional na USP?"
4577,"Quais são as principais competências do Instituto de Ciências Matemáticas e de Computação (ICMC) da USP?"
2728,"Qual é a porcentagem de representação discente nas Comissões de Graduação e de Pós-Graduação na USP, e como são eleitos os suplentes desses representantes?"
2201,"Quais são os requisitos para a apresentação de uma Dissertação de Mestrado na USP, conforme as normas estabelecidas pela Escola de Enfermagem da USP?"
1907,"Quantos créditos especiais um estudante da USP pode receber por publicar um trabalho em revistas indexadas com Qualis de A até B2 na área de Química, sendo o primeiro autor e tendo relação com seu projeto de dissertação ou tese?"
4314,"Quais são os órgãos de administração do Museu de Arqueologia e Etnologia (MAE) da Universidade de São Paulo (USP) e como é composto o Conselho Deliberativo deste museu?"
183,"Quais critérios são considerados no julgamento do memorial de um candidato à livre-docência na USP?"
1422,"Quantos créditos em disciplinas cursadas são necessários para estudantes de Mestrado e Doutorado na USP até o exame de qualificação, e quantas produções relativas ao tema em estudo devem ser apresentadas até o depósito da dissertação ou tese, respectivamente?"
1825,"Quais são os critérios para o credenciamento ou recredenciamento de disciplinas na USP, e como deve ser apresentada a ementa dessas disciplinas?"
4425,"Quais são os critérios para a composição da representação docente na Congregação da ESALQ, e quem mais pode participar como membro convidado sem direito a voto?"
4662,"Qual é o procedimento estabelecido para a realização de reuniões da Congregação da USP caso não haja quórum legal na primeira convocação?"
